Wasting of muscles of limb immobilised in cast is seen in,Physiologic atrophy.,Pathologic atrophy.,Physiologic hypertrophy.,Pathologic hypertrophy.,B
Zenker’s degeneration of muscle seen in,typhoid fever,Material fever,Dengue fever,Diptheria,A
Poliomyelitis is example of,Physiologic atrophy,Pressure atrophy,Disused atrophy,Neuropathic atrophy,D
All are features of reversible cell injury except,Karyorrhexis,Blebs,"Clumping of nuclear
chromatin","Vacuolization of
Mitochondria",D
All are features of Apoptosis except,Cell shrinkage,"Marked inflammatory
infiltrate",Single cell shedding,Chromatin condensation,B
Most common cause of fatty liver is,Alcoholism,Starvation,Corticosteroid,CCL4 Poisoning,A
Cancer predesposition in vitamin A deficiency is due to,Dysplasia,Aplasia,Metaplasia,Hypertrophy,C
,,,,,
Difference between hyperaemia and congestion is,"Increased blood volumes
in hyperaemia","Hyperaemia and
congestion both are
active","Hyperaemia is active &
congestion is passive","Hyperaemia is acute and
congestion is chronic.",C
Most frequent cause of CVC Liver is-,Hepatic cell failure.,ARDS.,"Right sided ventricular
failure.","Left sided ventricular
failure.",C
"Virchow's triad includes all
except",Injury to vein,Venous thrombosis,Venous stasis,"Hypercoaguabilty of
blood",B
Pick the correct sequence:,"Renin-Angiotensin II-
Angiotensin I-
Angiotensinogen-
Aldosterone","Angiotensinogen-Renin-
Angiotensin II-
Angiotensin I-
Aldosterone","Renin-Angiotensinogen-
Angiotensin I-
Angiotensin II-
Aldosterone","Aldosterone-Renin-
Angiotensinogen-
Angiotensin II-
Angiotensin I",C
"Pulmonary hypertension is defined as systolic blood pressurein the pulmonary arterial circulation
above the following cut offfigure:",120 mmHg,90 mmHg,60 mmHg,30 mmHg,D
Infarct Lung is,Pale,Anemic,Haemorhhagic,Ischemic,C
Ischemia casues injury due to,Hypoxia,Lack of Nutrients,"Accumulation of Waste
Products",All of the above,D
"Osmotic pressure exerted by the chemical constituents of the body fluids has the following features
except:","Cystalloid osmotic
pressure compises minor
potion of total osmotic
pressure","Oncotic pressure
constitutes minor portion
of total osmotic pressure","Oncotic pressure of
plasma is higher","Oncotic pressure of
interstitial fluid is lower",A
"For causation of oedema by decreased osmotic pressure, the following factor is most
important","Fall in albumin as well
as globulin",Fall in globulin level,Fall in albumin level,Fall in fibrinogen level,B
"In septic shock, pathogenesis of endothelial cell injury involves the following mechanisms except","Lipopolysaccharide from
lysed bacteria injures the
endothelium","Interleukin-1 causes
endothelial cell injury","TNF-a causes direct
cytotoxicity","Adherence of PMNs to
endothelium causes
endothelial cell injury",A
Transudate differs from exudate in having the following except:,Low specific gravity,No inflammatory cells,Low glucose content,Low protein content,C
type of emboli depending upon source are .,Cardiac emboli,Solid emboli,Bland emboli,Rectrograde embolis,A
Nephritic oedema differs from nephrotic oedema in having the following except,Mild oedema,"Distributed on face, eyes",Heavy proteinuria,"Occurs in acute
glomerulonephritis",C
The following type of oedema is characteristically dependent odema,Nephrotic odema,Nephritic odema,Pulmonary odema,Cardiac Odema,D
Sectioned surface of lung shows brown induration in:,Pulmonary embolism,Pulmonary haemorrhage,Pulmonary infarction,CVC lung,D
Milroy’s disease is:,Cerebral oedema,Pulmonary oedema,Hereditary lymphoedema,Postural oedema,C
"Pulmonary oedema appears due to elevated pulmonary hydrostatic pressure when the fluid
accumulation is:",Two fold,Four fold,Eight fold,Ten fold,D
Father of cellular Pathology is,Carl Rokitansky,Rudolf Virchow,G.Morgagni,F.T.Schwann,B
Paradoxical emboli means,"Against the current of
the blood flow","Globules of fat gain
excess to the blood flow","In the direction of the
flow",None of the above,D
Lines of Zahn in seen in,Postmortem clot,Embolus,Thrombus,All of the above,C
Fat embolism is seen in,Pancreatitis,Diabetes Mellitus,Sickle cell anaemia,All of the above,D
The following type of Oedema is characteristically dependent Oedema,Nephrotic Oedema,Cardiac Oedema,Pulmonary Oedema,Hepatic Oedema,B
Red infarcts occurs with following except,Venous occlusion,Arterial occlusion,"in tissues with dual
circulation","in loose spongy tissues
where blood can be
collected in infarct zone",B
80% of systemic emboli originate from,"intracardiac mural
thrombi",pulmonary emboli,Fat emboli,air emboli,A
Commonest source of pulmonary embolism is,deep veins of legs,superficial veins of legs,superficial veins of arm,heart,A
Thrombi occuring in Heart chambers or Aorta are designated as,agonal thrombi,Venous Thrombi,Mural thrombi,Vegetations,C
"hypotension, weak rapid pulse,tachypnoea,cool,clammy, cyanotic skin,is representation of",Cardiogenic shock,Anaemia,pulmonary hypertension,pneumonia,A
Factors responsible for oedema formation includes all except,"increased hydrostatic
pressure of the blood","decreased osmotic
pressure of the blood","decreased capillary
permeability",Lymphatic obstruction,B
Direct injury to the endothelium of cell causes,necrosis,gangrene,thrombosis,degenration,A
common derangements of body fluid are,Oedema,Overhydration,Dehydration,ALL of above,D
Which ONE of the following is not associated with thrombosis?,Thrombocytopenia.,Endothelial damage.,"Formation of platelet
aggregates.",Vascular stasis.,A
"CHRONIC VENOUS CONGESTION OF LIVER OCCURS IN RIGHT HEART FAILURE AND SOMETIMES DUE TO
OCCLUSION OF…..","SUPERIOR AND INFERIOR
VENA CAVA","SUPERIOR VENA CAVA AND
HEPATIC VEIN","INFERIOR VENA CAVA AND
HEPATIC VEIN","ALL ABOVE OPTIONS ARE
INCORRECT",C
LARGE THROMBUS IMPACTED AT THE BIFURCATION OF THE MAIN PULMONARY ARTERY IS CALLED…..,SYSTEMIC EMBOLISM,SADDLE EMBOLISM,ARTERIAL EMBOLISM,"ARETERIAL
TROMBOEMBOLISM",B
RISK FACTORS OF PULMONARY THROMBOEMBOLISM IS…..,PULMONARY INFARCTION,ARTERITIS,VENOUS BLOOD STASIS,MURAL THROMBI,C
CAUSE / CAUSES OF FAT EMBOLISM INVOLVE….,HYPERLIPIDAEMIA,SICKEL CELL ANAEMIA,PANCREATITIS,ALL OF THE ABOVE,D
THE EFFECT OF DECOMPRESSION SICKNESS DEPEND UPON…,"DEPTH OF ALTITUDE
REACHED","DURATION OF EXPOSURE
TO ALTERED PRESSURE","RATE OF ASCENT OR
DESCENT",ALL OF THE ABOVE,D
TRAUMATIC CAUSES OF FAT EMBOLISM INVOLVE.....,TRAUMA TO THE BONES,"TRAUMA OT THE SOFT
TISSUES",NONE OF THE ABOVE,BOTH A AND B,D
EXAMPLES OF LIQUID EMBOLISM ARE ALL EXCEPT..,FAT GLOBULES,AMNIOTIC FLUID,BACTERIAL CLUMPS,BONE MARROW,C
AIR EMBOLISM IS SEEN COMMONLY IN VEINS OF WHICH SITE?,HEAD AND NECK,CARDIAC,ABDOMINAL,LEGS VEINS,A
VIRCHOW DESCRIBED THREE PRIMARY EVENTS WHICH PREDISPOSE TO THROMBUS FORMATION:,"ENDOTHELIAL INJURY,
ALTERED BLOOD FLOW,
ODEMA","ALTERED BLOOD FLOW,
ODEMA,
HYPERCOAGULABILITY","ENDOTHELIAL INJURY,
ODEMA,
HYPERCOAGULABILITY","ENDOTHELIAL INJURY,
ALTERED BLOOD FLOW,
HYPERCOAGULAB ILITY OF
BLOOD",D
INJURY TO VESSEL WALL CAUSES…,"VASOCONSTRICTION OF
SMALL BLOOD VESSEL","DEGENERATION OF
VESSELS","DISTURBANCES OF
CIRCULATION",NONE OF THE ABOVE,A
"…….SYNTHESIZED BY THE ENDOTHELIAL CELLS BINDS TO GPIB AND FORMS A FIRM ADHESION OF PLATELETS
WITH ECM","VON WILLEBRANDS
FACTOR",ADENOSINE DIPHOSPHATE,ADENOSINE DIPHOSPHATE,GLYCOPROTEIN IB,A
SEQUENCE OF EVENTS OF ROLE OF PLATELETS IN THROMBOSIS IS …….,"PLATELET
AGGREGATION,PLAT ELET
ADHESION,PLATELET
RELEASE REACTION","PLATELET ADHESION,
PLATELET RELEASE
REACTION, PLATELET
AGGREGATION","PLATELET RELEASE
REACTION,PLATELET
ADHESION, PLATELET
AGGREGATION",NONE OF THE ABOVE,B
DEFICIENCY OF GPIB AND VWF WOULD RESULT IN….,"DEFECTIVE PLATELET
ADHESION","PLATELET RELEASE
REACTION",ABNORMAL BLEEDING,BOTH A AND C,D
STABLE HAEMOSTATIC PLUG IS FORMED BY THE ACTION OF…,FIBRIN,THROMBIN,THROMBOXANE A2,ALL OF THE ABOVE,D
"THE THROMBU SMAY ENLARGE IN SIZE DUE TO MORE AND MORE DEPOSITION FROM THE CONSTITUENTS OF
FLOWING BLOOD . THIS PROCESS IS KNOWN AS",RESOLUTION,ORGANISATION,PROPAGATION,THROMBOEMBOLISM,C
ARTERIAL THROMBI ARE FORMED FROM…,HYPERTENSION,VENOUS STASIS,ENDOTHELIAL CELL INJURY,ABDOMINAL OPERATION,C
"THE LINES OF ZAHN ARE FORMED FROM LAYER OF LIGHT-STAINING AGGREGATED PLATELETS ADMIXED
WITH….","FIBRIN MESHWORK AND
DARK STAINING LAYER OF
RED CELLS",LAYERS OF WBC'S,B AND T LYMPHOCYTES,"INFILTRATION OF
NEUTROPHILS",A
MAIN TYPES OF OEDEMA,"TRANSUDATE AND
EXUDATE",PITTING AND NON PITTING,LOCALISED AND GENERAL,ANASARCA DROPSY,C
Lines of ZAHN is a chararacteristic appearance of laminations in thrombi when formed in,Peripheral veins,Aorta,Retinal artery,Arcuate artery,B
All infarcts are associated with coagulative necrosis except,Brain,Kidney,Spleen,Liver,A
The minimal blood loss that causes hypovalemic shock is,5-10 %,10-15 %,30-40 %,70o80 %,B
Cancer predesposition in vitamin A deficiency is dueto,Dysplasia,Aplasia,Metaplasia,Hypertrophy,C
,,,,,
The immediate vascular response in Acute Inflammation is,Vasoconstriction,Vasodialataion,stasis of blood,"Hydrostatic
Pressure",A
The cardinal signs of Inflammation are all except,Rubor,Calor,Dolor,Pallor,D
Increase in vascular permeability is mainly due to,Vasodialatation,Stasis of blood,"Endothelial
damage","Change in axial flow of
blood",C
Neovascularisation is the term used for,Ruptured capillary,New capillary formation,Engorged capillary,Blockage of capillary,B
,Margination,Rolling,Pavementing,Chemotaxis,C
The process of escaping of neutrophils out into the extravascular space is termed as,Phagocytosis,Emigration,Adhesion,Chemotaxis,B
Diapedesis is a passive process of escape of,Erythrocytes,Leucocytes,Thrombocytes,Plasma cells,A
The transmigration of leucocytes after crossing several barriers to reach the interstitial tissues is called,Rolling,Adhesion,Chemotaxis,Phagocytosis,C
All are the stages of Phagocytosis except,Rolling and Adhesion,"Recognition and
Attatchment",Engulfment,Killing and degradation,A
Reed Sternberg cell is a giant cell seen in,Giant cell tumor,Shwannoma,Haemangioma,Hodgkin's Lymphoma,D
"The cell derived from B lymphocytes with an eccentric nucleus having cartwheel arrangement of
chromatin is",Histiocyte,Plasma cell,Epitheloid cell,Kupffer cell,B
Pseudomembranous inflammation is seen in infection with,Pneumococci,C.Diptheriae,S. Typhi,E.coli,B
"Diffuse Inflammation of the soft tissues resulting from spreading effects of substances like
hyaluronidase released by some bacteria is termed","Pseudomembranous
inflammation",Suppuration,Catarrhal Inflammation,Cellulitis,D
Systemic effects of acute Inflammation includes all except,Fever,Leucocytosis,Icterus,Lymphadenopath y,C
Granuloma formation occurs in,Tuberculosis,Gonorrhoea,Typhoid,Diptheria,A
The cells which continue to multiply throughout life under normal physiological conditions are,Neurons,Skeletal muscle cells,"Parenchymal cells of
liver","Epithelial cells of
epidermis",D
The cells which lose their ability to proliferate after adolescence are,"Parenchymal cells of
Kidney",Cardiac muscle cells,"Haematopoietic cells of
Bone marrow",Uterine endometrial cells,B
Regeneration is when healing takes place by proliferation of,Epithelial cells,Parenchymal cells,Mesenchymal cells,Connective tissue cells,B
All are features of Granulation tissue except,Granular and pink,Proliferated new vessel,Fibroblasts & collagen,Haemmorrhage,D
Healing by first intention has all the stages except,Initial haemorrhage,"Acute inflammatory
response",Wound contraction,Epithelial changes,C
Wound contraction begins on 2nd or 3rd day and is completed in,1 week,2 weeks,3 weeks,4 weeks,B
Local factors that delay the process of healing are all except,Infection,Poor blood supply,Foreign bodies,Steroids,D
The fracture communicating to skin surface is,Compound,Simple,Comminute,Incomplete,A
The Giant cells in a tubercle are,Foreign Body,Touton,Langhan's,Aschoff,C
Healing by first intention occurs in al wounds except,Clean & Uninfected,Surgically incised,"Open & Large tissue
defect","Edges approximated with
sutures",C
Main cytokines acting as mediators of inflammation one as under except,Interlukin-1(IL-1),"Tumour necrosis Factor
α (TNF-α)",Nitric oxide (NO),Interferon ϒ (IFR- ϒ),C
Transudate differs from Exudate in having following except,low inflammatory cells,low glucose content,low protein content,low specific gravity,B
Histological hall mark of chronic inflammation are all except,mononuclear infilterate,fibroblast proliferation,fibrosis,neutrophilic exudates,D
Mast cells produce,histamin,Bradykinnin,prostaglandin,complement,A
Transudate has all of following characters except,specific gravity is 1.006,clear & transperant,"predominant cell are
neutrophils","protein contains less than
3gms",C
Repair process is enhanced by all except,poor blood supply,Immobilisaition,non infected wound,middle age,A
"During acute inflammation the movement of RBCs through the gaps between the endothelial cells is
called as",diapedesis,chemotaxis,margination,pavementing,A
All are example of plasma derived mediators of acute inflammation except,kinnin system,histamin,complements,clotting system,B
4 cardinals signs of acute inflammation were given by,virchow,celsus,cohenheim,metnikoff,B
The cell that predominates during 1 TO 12hrs after onset of of inflammation,monocytes,neutrophils,eosinophils,basophils,B
All are the features of secondary healing that differentiates it from primary healing except,"inflammatory reaction is
more intense",seen in surgical incision,larger granulation tissue,wound contraction,B
Exudate has all of following features except,Turbid on gross,Specific gravity 1.018,least protein content,"increased capillary
permeability is the cause",C
IN CARDINAL SIGNS OF INFLAMTION PAIN MEANS,RUBOR,DOLOR,CALOR,TUMOR,B
Flare is the bright reddish appearance due to,vasodilatation,vasoconstriction,both A & B,APOPTOSIS,A
Histamine - It is stored in the granules of,mast cells,basophils,platelets,all of above,D
PLASMA-DERIVED MEDIATORS are except,The kinin system,The clotting system,The complement system,muscular system,D
The major proinflammatory actions of these neuropeptides are all except,"Increased vascular
permeability.","Transmission of pain
stimuli",Mast cell degranulation.,vasoconstriction,D
Prostaglandins PGE2 act on blood vessels to causes,"vasodilatation and
bronchodilatation",only bronchodilatation,"vasoconstriction and
bronchodilatatio n",only vasodilatation,C
Healing is example of,vascularisation,Neovascularisation,"Endothelial cell
contraction",Endothelial cell retraction,B
Which of the is the earliest event that occurs in the vascular flow during acute inflammation,Vasodilation,Stasis,Vasoconstrictio n,Leucocytic margination,C
All the following are effects of bradykinin except,"Increases vascular
permieability","Smooth muscle
contraction",Pain,Vasoconstriction,D
All the following are mononuclear cells except,Macrophages,Neutrophils,Lymphocytes,Plasma cells,B
The histological hall marks chronic inflammation are all except,Mononuclear infiltrate,Fibroblast proliferation,Fibrosis,Neutrophillilic exudate,D
Epitheloid cells in granulation are modified,T- lymphocytes,Neutrophills,B- lymphocytes,Macrophages,D
The epitheliod cell is adapted for,Better chemotaxis,More phagocytosis,Extracellular secretions,All of the above,C
,,,,,
Reedsternberg joint cell are seen in,Burkitts lymphoma,sarcoidosis,multiple myeloma,hodgekin’s disease,D
Hypochromic microcytic anaemia is seen in,Pernicious anaemia,Iron defeciency anaemia,Megaloblastic anaemia,Thalassaemia,B
Heinz bodies are seen in,G6PD defeciency,Aplastic Anaemia,Iron Defeciency anaemia,Megaloblastic anaemia,A
Haemophilia A is caused due to defeciency of,Factor III,Factor IV,Factor VIII,Factor IX,C
In sickle cell anaemia point mutation occur at,"6th position of alpha
chain","12th position of alpha
chain",6th position of beta chain,12th position of betachain,D
Prothrombin time is prolonged in all except,liver disease,Vit K deficiency,"Disseminated
intravascular coagulation",Haemophilia B,D
Philadelphia chromosome is characteristic of,"Acute Myeloid
Leukaemia","Chronic Myeloid
Leukaemia",Polycythaemia vera,Lymphomas,B
Macrocytic megaloblastic Anaemia is cardinal feature of defeciency of,Vitamin A,Vitamin B12,Vitamin C,VitaminB6,B
The following disorders may result from plasma loss in dehydration from vomiting,"Acute myeloid
leukaemia","Myeloproliferativ e
neoplasms","Relative/spurious
polycythaemia","Myelodysplastic
syndrome",C
Increased osmotic fragility of red cell is seen in,Aplastic Anaemia,Spherocytosis,Megaloblastic Anaemia,Thalassemia,B
Lynphocytosis is seen in,Filariasis,Polycythemia,Tuberculosis,Allergy,C
Leucopenia is characteristic of,Appendicitis,Meningitis,Hodgkins disease,Enteric fever,D
Basophils are increased in,Bronchial Asthama,"Chronic Myeloid
Leukaemia",Angioneurotic Oedema,Corticosteroid therapy,B
Direct coomb's test is done with the patients,RBC's,Plasma,Serum,Platelets,A
Haemolytic anaemia that appears right from birth is,β - thalassemia,Thalassemia,Hereditary Spherocytosis,sickle cell anaemia,C
Classic haemophilia is due to deficiency of,Factor II,Factor V,Factor VII,Factor VIII,D
In sickle cell anaemia point mutation occur at,"6th position of alpha
chain","12th position of alpha
chain",6th position of beta chain,"12th position of
beta chain",A
Prothrombin time is prolonged in all except,liver disease,Vit K deficiency,Christmas disease,obstructive jaundice,C
Pernicious anaemia is caused by deficiency of,Vitamin B1,Vitamin D,intrinsic factor,Vitamin K,C
subacute combined degeneration of spinal cord is seen in deficiency of,Vitamin B1,Vitamin K,Vitamin D,vitamin B12,D
All are Autosomal Recessive Inheritance diseases except,β-thalassaemia,Sickle cell anaemia,Wilson’s disease,Marfan’s syndrome,D
In sickle cell anemia RBC life span is,120 days,140 days,40 days,20 days,D
Hemorrhagic diathesis become clinically evident when platelet count fall to,"100,000","60,000","40,000","20,000",D
Which of following condition indicate thrombocytopena,"Prolonged clotting
Time+prolonged
bleeding Time","Prolonged clotting
Time+normal
bleeding Time","Normal clotting time +
prolonged
bleeding time",None of the above,C
In Polycythemia vera erythropoietin levels,Increase,Decrease,Normal,Variable,B
Iron deposition into parenchynal cells of liver is characetristic feature of,Hemolytic anemia,Multiple transfusions,Idiopathic hemosiderosis,All of the above,C
,,,,,
Important method to guage Obesity is,Weight,BMI Index,Cardiac profile,Serum Lipid level,B
Correct Marker of Starvation is,Loss of Weight,"Excessive production of
ketone bodies","decrese break down of
Proteins",decrese excretion of urea,B
Protein energy or Protein calorie malnutrition occur in case of,Kwarshiorkar,Starvation,Obesity,"Chronic debilating
diseases",A
Overall calcium deficiency reflects as,Anaemia,Dental carries,Osteoporosis,Muscle weakness,C
Which is not water soluble Vitamin,Vit K,Vit c,Vit B,Biotine,A
Chronic cunsumtion of Large Doses of Vit A produces,"Sever headache with
stupor",Night blindness,Bitots spot,Blindness,A
Name of Vit D3 is,Cholecalciferol,Calciferol,Retinol,Tocopherol,A
Which is not effect of Obesity,Hyperinsulinaemia,Atherosclerosis,Hypertension,"Increase break down of
protein",D
The main physiological function of Vit K is,"Carboxyllation of
coagulation factor no II",Produces Haemorrhage,"Produces Billiary
Obstruction","Produces Malabosorption
syndrome",A
Primary cause of Malnutrition syndrome is,Coeliac disease,Pancreatic Insufficiency,Drugs,Resection of Bowel,A
"A child is considered to have Maramus when weight level falls to of normal for
sex,Height,and age",50%,60%,70%,80%,B
Generalised dependent Oedema is seen in,Anorexia,Marasmus,Kwashiorkar,Vitamin A defeciency,C
Severe form of Protein Energy Malnutrition is called,Anaemia,Cachexia,bulimia,Rickets,B
Defeciency of Vitamin D causes,Rickets,Bitot spots,Scurvy,Keratomalacia,A
Bitot’s spots seen in,vitamin A deficiency,"Vitamin B1
DEFICIENCY","Vitamin B12
DEFICIENCY",Vitamin D DEFICIENCY,A
Wernicke-Korsakoff’s syndrome,vitamin B3 deficiency,"Vitamin B1
DEFICIENCY","Vitamin B12
DEFICIENCY",Vitamin D DEFICIENCY,B
"Dermatitis, Diarrhoea, Dementia IS TRAID OF",Beriberi,Scurvy,Pellagra,Rickets,C
Vitamin D deficiency in adult is,RICKET,OESTOPOROSIS,HYPERCALCIMIA,Osteomalacia,D
Rachitic rosary SEEN IN,SCURVY,RICKET,ACNE ROSORY,NONE OF ABOVE,B
Pigeon-chest deformity In ricket due to,"anterior protrusion of
sternum","posterior protrusion of
sternum","lateral protrusion of
sternum",all the above,A
Which vitamins is required for collagen synthesis,Vitamin B,Vitamin C,Vitamin A,Vitamin K,B
,,,,,
Arthus reaction is what type of hypersensitivity reaction,"Localized immune
complex",Ag — Ab reaction,Compliment mediated,Antibody mediated,A
Function of humoral immunity is,Tumor lysis,Antigen exposure,Transplant reactions,"Response to viral
infections",B
The process NOT induced from the antigen antibody reactions in vitro are,Agglutination,Tissue damage,Neutralisation,Complement fixation,B
"Histologically, the characteristic lesion in SYSTEMIC LUPUS ERYTHEMATOSUS(SLE) is :",Fibrinoid necrosis,Fatty degeneration,Caseous necrosis,Liquefactive necrosis,A
Tuberculin test is an example of which type of hypersensitivity reaction,Type I,Type II,Type III,Type IV,D
"Herd Immunity is best defined as immunity developed in how much percentage of population against
the infective agent",0.3,0.4,0.8,0.6,C
"Hapten is derieved from the greek ""haptein"" which means",Infectious,"Capable of producing an
Antibody",To Fasten,Foreign,C
is an example of precipitation,Wasserman test,WIDAL test,VDRL test,Mantoux Test,C
Cross linking of mast cell bound IgE by the allergen is seen in which hypersensitivity reaction,Type IV,Type I,Type II,Type III,B
Internal Society of Blood Group has identified,"3 blood groups and 2
antigens",MN system,"4 Blood Groups and 2
Antigens","20 Blood groups and 7
Antigens",D
Deposition of antigen antibody complexes is characteristic of hypersensitivity,Type 1,Type 2,Type 3,Type 4,C
The macrophage originate from,monocytes,neutrophils,lymphocytes,basophils,A
are part of innate imunity,NK cells,Dendritic cells,neutrophils,all above,D
antibodies are hallmark of type I hypersensitivity,Ig A,Ig G,Ig E,Ig D,C
Transplant antigens (mhc complex) are located on chromosome,5,6,7,8,B
The induction and regulation of immune response are mediated by short acting soluble mediators called,Cytokines,mast cells,basophils,none of above,A
B cell defects are except,"Bruton’s X-linked
agammaglobulinaemi a",IgA deficiency,"Autosomal recessive
agammaglobulina emia",Sarcoidosis,D
common derangements of body fluid are,Oedema,Overhydration,Dehydration,ALL of above,D
Lardaceous amyloidosis is seen in,Spleen,Liver,Heart,Intestine,A
"The cells which contains cytoplasmic granules ,initiates inflammation are",NK cells,Mast cells,Dendritic cells,Phagocytes,B
The immunity plays a vital role in preventing epidemic diseases is....,Local immunity,Herd immunity,Mucosal immunity,Adoptive immunity,B
Antibody which can cross the placental barrier is...,IgG,IgM,IgE,IgA,A
Antibody that take part in type I hypersensitivity reaction is...,IgA,IgE,IgA,IgG,B
The level of antibody increases in parasitic infection is,IgG,IgM,IgA,IgE,D
The type of hypersensitivity reaction in graves disease is,Type I,Type II,Type III,Type IV,B
The antibody which shows dimetric form is....,IgA,IgG,IgE,IgM,A
"the self tissues transfered from one part of body site to another, in same individual known as",autograft,Isograft,Allograft,Xenograft,A
Tissue transferred between genetically identical individuals,Autograft,Isograft,Allograft,Xenograft,B
Tissue transferred between genetically nonidentical members of same species,autograft,Isograft,Allograft,Xenograft,C
Tissue transferred between different species,Xenograft,Autograft,Isograft,Allograft,A
,,,,,
WHICH OF THE FOLLOWING ARE THE TEST FOR AMYLOIDOSIS?,BIOPSY,CONGO BLUE TEST,CONGO RED TEST,BOTH A AND C,D
AMYLOID IS DEPOSITED IN WHICH PART OF THE KIDNEY?,NEPHRON,GLOMERULI,CORTEX,MEDULLA,B
